date,month,day_of_week,sessions,paid_sessions,organic_sessions,cvr,orders,aov,new_customers,new_revenue,return_revenue,total_revenue,target_revenue,spend,cac,roas
2026-02-07,2,Saturday,8660,7132,1528,2.1955,190,91.47,130,11900.2,5479.71,17379.91,53571.43,38750.96,298.08,0.45
2026-02-08,2,Sunday,6481,5315,1166,2.2845,148,92.01,104,9590.49,4027.46,13617.95,53571.43,29767.98,286.23,0.46
2026-02-09,2,Monday,9209,7551,1658,2.0345,187,97.23,131,12744.21,5436.95,18181.16,53571.43,36995.19,282.41,0.49
2026-02-10,2,Tuesday,10218,8518,1700,2.3507,240,92.02,159,14715.58,7369.96,22085.54,53571.43,45893.37,288.64,0.48
2026-02-11,2,Wednesday,9895,8208,1687,2.2639,224,94.39,156,14751.71,6391.82,21143.53,53571.43,45370.78,290.84,0.47
2026-02-12,2,Thursday,8810,7382,1428,2.2929,202,99.39,133,13302.17,6773.93,20076.1,53571.43,33948.09,255.25,0.59
2026-02-13,2,Friday,10554,8731,1823,2.3929,252,97.84,168,16473.55,8183.31,24656.86,53571.43,42247.81,251.48,0.58
2026-02-14,2,Saturday,9200,7516,1684,2.1772,200,101.58,132,13456.92,6858.98,20315.9,53571.43,31877.12,241.49,0.64
2026-02-15,2,Sunday,7729,6456,1273,2.0081,155,102.6,102,10567.72,5335.94,15903.66,53571.43,25340.7,248.44,0.63
2026-02-16,2,Monday,8615,7016,1599,2.2257,191,89.38,130,11625.29,5447.2,17072.49,53571.43,33032.98,254.1,0.52
2026-02-17,2,Tuesday,10629,8606,2023,2.2033,234,92.77,155,14447.96,7261.02,21708.98,53571.43,38233.28,246.67,0.57
2026-02-18,2,Wednesday,10231,8358,1873,2.2092,226,85.73,151,13018.87,6355.55,19374.42,53571.43,38907.76,257.67,0.5
2026-02-19,2,Thursday,10567,8842,1725,2.3364,246,92.23,174,16107.98,6579.66,22687.64,53571.43,51896.2,298.25,0.44
2026-02-20,2,Friday,12413,10353,2060,2.2225,275,98.49,187,18440.8,8644.5,27085.3,53571.43,46486.37,248.59,0.58
2026-02-21,2,Saturday,7686,6203,1483,2.2593,173,105.96,115,12217.2,6113.09,18330.29,53571.43,29195.5,253.87,0.63
2026-02-22,2,Sunday,6368,5250,1118,1.9262,122,105.9,81,8591.86,4328.17,12920.03,53571.43,22730.03,280.62,0.57
2026-02-23,2,Monday,8546,6921,1625,2.392,204,99.52,134,13399.87,6902.02,20301.89,53571.43,39869.28,297.53,0.51
2026-02-24,2,Tuesday,8558,6931,1627,2.4222,207,91.69,137,12564.25,6414.86,18979.11,53571.43,40585.5,296.24,0.47
2026-02-25,2,Wednesday,11194,9036,2158,2.205,246,98.74,173,17084.29,7205.73,24290.02,53571.43,51162.12,295.73,0.47
2026-02-26,2,Thursday,8843,7161,1682,2.4593,217,93.98,150,14134.67,6259.48,20394.15,53571.43,38155.05,254.37,0.53
2026-02-27,2,Friday,9302,7474,1828,2.0676,192,92.16,127,11756.99,5938.28,17695.27,53571.43,32715.23,257.6,0.54
2026-02-28,2,Saturday,8346,6713,1633,2.0507,171,110.44,116,12856.53,6029.0,18885.53,53571.43,28626.55,246.78,0.66
2026-03-01,3,Sunday,7757,6469,1288,1.9582,151,110.78,104,11612.78,5114.98,16727.76,54838.71,27817.13,267.47,0.6
2026-03-02,3,Monday,10076,8301,1775,2.1208,213,97.32,145,14124.92,6603.77,20728.69,54838.71,40105.89,276.59,0.52
2026-03-03,3,Tuesday,9164,7498,1666,2.4097,220,88.23,145,12812.01,6599.35,19411.36,54838.71,41434.61,285.76,0.47
2026-03-04,3,Wednesday,10908,8873,2035,2.3921,260,93.98,182,17184.99,7249.08,24434.07,54838.71,47367.9,260.26,0.52
2026-03-05,3,Thursday,9068,7491,1577,2.4742,224,99.64,154,15428.36,6889.91,22318.27,54838.71,40843.56,265.22,0.55
2026-03-06,3,Friday,10514,8444,2070,2.1131,222,90.69,152,13788.02,6344.5,20132.52,54838.71,42951.32,282.57,0.47
2026-03-07,3,Saturday,8979,7515,1464,2.1414,192,101.03,130,13152.9,6245.25,19398.15,54838.71,33415.98,257.05,0.58
2026-03-08,3,Sunday,6650,5458,1192,2.1265,141,107.15,96,10303.3,4804.37,15107.67,54838.71,24206.94,252.16,0.62
2026-03-09,3,Monday,9373,7814,1559,2.3801,223,101.6,155,15787.02,6868.88,22655.9,54838.71,42101.66,271.62,0.54
2026-03-10,3,Tuesday,10337,8395,1942,2.2372,231,102.14,154,15731.23,7863.53,23594.76,54838.71,38901.17,252.6,0.61
2026-03-11,3,Wednesday,9324,7511,1813,2.0935,195,93.4,132,12395.81,5817.9,18213.71,54838.71,32026.42,242.62,0.57
2026-03-12,3,Thursday,9458,7739,1719,2.3736,224,92.8,149,13904.62,6882.2,20786.82,54838.71,37786.09,253.6,0.55
2026-03-13,3,Friday,11493,9565,1928,1.9856,228,101.68,151,15413.03,7770.82,23183.85,54838.71,40046.47,265.21,0.58
2026-03-14,3,Saturday,7352,6079,1273,2.2851,167,106.09,117,12429.04,5287.66,17716.7,54838.71,34220.8,292.49,0.52
2026-03-15,3,Sunday,6836,5565,1271,2.2196,151,108.83,98,10730.65,5702.92,16433.57,54838.71,29294.04,298.92,0.56
2026-03-16,3,Monday,10797,8695,2102,2.2533,243,101.78,164,16757.49,7974.86,24732.35,54838.71,44729.03,272.74,0.55
2026-03-17,3,Tuesday,11409,9429,1980,2.4266,276,98.12,190,18684.23,8397.28,27081.51,54838.71,52896.75,278.4,0.51
2026-03-18,3,Wednesday,11379,9473,1906,2.3238,264,100.71,181,18315.26,8273.24,26588.5,54838.71,46246.97,255.51,0.57
2026-03-19,3,Thursday,9322,7706,1616,2.2305,207,99.54,143,14332.5,6272.17,20604.67,54838.71,40290.48,281.75,0.51
2026-03-20,3,Friday,12051,9879,2172,2.0117,242,97.63,163,15933.79,7692.99,23626.78,54838.71,40774.06,250.15,0.58
2026-03-21,3,Saturday,8237,6618,1619,2.2632,186,108.67,123,13465.7,6747.8,20213.5,54838.71,35188.2,286.08,0.57
2026-03-22,3,Sunday,6935,5571,1364,1.8868,130,104.89,86,9038.76,4597.24,13636.0,54838.71,25632.45,298.05,0.53
2026-03-23,3,Monday,9813,8110,1703,2.3131,226,100.41,151,15212.03,7480.9,22692.93,54838.71,37835.88,250.57,0.6
2026-03-24,3,Tuesday,10427,8545,1882,2.0962,218,97.25,145,14121.68,7078.99,21200.67,54838.71,35805.41,246.93,0.59
2026-03-25,3,Wednesday,10905,8939,1966,2.1419,233,102.02,163,16632.22,7138.62,23770.84,54838.71,44421.99,272.53,0.54
2026-03-26,3,Thursday,8989,7481,1508,2.3804,213,94.41,144,13610.45,6499.76,20110.21,54838.71,37505.81,260.46,0.54
2026-03-27,3,Friday,10867,8761,2106,2.1278,231,104.65,157,16457.87,7716.62,24174.49,54838.71,45444.8,289.46,0.53
2026-03-28,3,Saturday,8200,6534,1666,1.9189,157,100.34,105,10588.68,5164.88,15753.56,54838.71,27122.64,258.31,0.58
2026-03-29,3,Sunday,7900,6308,1592,2.2118,174,111.56,114,12823.4,6587.31,19410.71,54838.71,28328.53,248.5,0.69
2026-03-30,3,Monday,9057,7360,1697,2.0511,185,95.0,122,11682.65,5891.84,17574.49,54838.71,30446.46,249.56,0.58
2026-03-31,3,Tuesday,11862,9557,2305,2.4381,289,95.86,192,18496.57,9205.6,27702.17,54838.71,46615.55,242.79,0.59
