date,month,running_actual_revenue,running_target_revenue,running_new_revenue,running_spend,delta_running_revenue,running_orders,running_new_customers,pct_of_monthly_target
2026-02-04,2,85431.99,214285.72,58486.65,168640.39,-128853.73,924,631,5.7
2026-02-05,2,106526.87,267857.15,73112.26,218505.58,-161330.28,1158,793,7.1
2026-02-06,2,129734.52,321428.58,89341.59,271180.39,-191694.06,1428,981,8.65
2026-02-07,2,147114.43,375000.01,101241.79,309931.35,-227885.58,1618,1111,9.81
2026-02-08,2,160732.38,428571.44,110832.28,339699.33,-267839.06,1766,1215,10.72
2026-02-09,2,178913.54,482142.87,123576.49,376694.52,-303229.33,1953,1346,11.93
2026-02-10,2,200999.08,535714.3,138292.07,422587.89,-334715.22,2193,1505,13.4
2026-02-11,2,222142.61,589285.73,153043.78,467958.67,-367143.12,2417,1661,14.81
2026-02-12,2,242218.71,642857.16,166345.95,501906.76,-400638.45,2619,1794,16.15
2026-02-13,2,266875.57,696428.59,182819.5,544154.57,-429553.02,2871,1962,17.79
2026-02-14,2,287191.47,750000.02,196276.42,576031.69,-462808.55,3071,2094,19.15
2026-02-15,2,303095.13,803571.45,206844.14,601372.39,-500476.32,3226,2196,20.21
2026-02-16,2,320167.62,857142.88,218469.43,634405.37,-536975.26,3417,2326,21.34
2026-02-17,2,341876.6,910714.31,232917.39,672638.65,-568837.71,3651,2481,22.79
2026-02-18,2,361251.02,964285.74,245936.26,711546.41,-603034.72,3877,2632,24.08
2026-02-19,2,383938.66,1017857.17,262044.24,763442.61,-633918.51,4123,2806,25.6
2026-02-20,2,411023.96,1071428.6,280485.04,809928.98,-660404.64,4398,2993,27.4
2026-02-21,2,429354.25,1125000.03,292702.24,839124.48,-695645.78,4571,3108,28.62
2026-02-22,2,442274.28,1178571.46,301294.1,861854.51,-736297.18,4693,3189,29.48
2026-02-23,2,462576.17,1232142.89,314693.97,901723.79,-769566.72,4897,3323,30.84
2026-02-24,2,481555.28,1285714.32,327258.22,942309.29,-804159.04,5104,3460,32.1
2026-02-25,2,505845.3,1339285.75,344342.51,993471.41,-833440.45,5350,3633,33.72
2026-02-26,2,526239.45,1392857.18,358477.18,1031626.46,-866617.73,5567,3783,35.08
2026-02-27,2,543934.72,1446428.61,370234.17,1064341.69,-902493.89,5759,3910,36.26
2026-02-28,2,562820.25,1500000.04,383090.7,1092968.24,-937179.79,5930,4026,37.52
2026-03-01,3,16727.76,54838.71,11612.78,27817.13,-38110.95,151,104,0.98
2026-03-02,3,37456.45,109677.42,25737.7,67923.02,-72220.97,364,249,2.2
2026-03-03,3,56867.81,164516.13,38549.71,109357.63,-107648.32,584,394,3.35
2026-03-04,3,81301.88,219354.84,55734.7,156725.53,-138052.96,844,576,4.78
2026-03-05,3,103620.15,274193.55,71163.06,197569.09,-170573.4,1068,730,6.1
2026-03-06,3,123752.67,329032.26,84951.08,240520.41,-205279.59,1290,882,7.28
2026-03-07,3,143150.82,383870.97,98103.98,273936.39,-240720.15,1482,1012,8.42
2026-03-08,3,158258.49,438709.68,108407.28,298143.33,-280451.19,1623,1108,9.31
2026-03-09,3,180914.39,493548.39,124194.3,340244.99,-312634.0,1846,1263,10.64
2026-03-10,3,204509.15,548387.1,139925.53,379146.16,-343877.95,2077,1417,12.03
2026-03-11,3,222722.86,603225.81,152321.34,411172.58,-380502.95,2272,1549,13.1
2026-03-12,3,243509.68,658064.52,166225.96,448958.67,-414554.84,2496,1698,14.32
2026-03-13,3,266693.53,712903.23,181638.99,489005.14,-446209.7,2724,1849,15.69
2026-03-14,3,284410.23,767741.94,194068.03,523225.94,-483331.71,2891,1966,16.73
2026-03-15,3,300843.8,822580.65,204798.68,552519.98,-521736.85,3042,2064,17.7
2026-03-16,3,325576.15,877419.36,221556.17,597249.01,-551843.21,3285,2228,19.15
2026-03-17,3,352657.66,932258.07,240240.4,650145.76,-579600.41,3561,2418,20.74
2026-03-18,3,379246.16,987096.78,258555.66,696392.73,-607850.62,3825,2599,22.31
2026-03-19,3,399850.83,1041935.49,272888.16,736683.21,-642084.66,4032,2742,23.52
2026-03-20,3,423477.61,1096774.2,288821.95,777457.27,-673296.59,4274,2905,24.91
2026-03-21,3,443691.11,1151612.91,302287.65,812645.47,-707921.8,4460,3028,26.1
2026-03-22,3,457327.11,1206451.62,311326.41,838277.92,-749124.51,4590,3114,26.9
2026-03-23,3,480020.04,1261290.33,326538.44,876113.8,-781270.29,4816,3265,28.24
2026-03-24,3,501220.71,1316129.04,340660.12,911919.21,-814908.33,5034,3410,29.48
2026-03-25,3,524991.55,1370967.75,357292.34,956341.2,-845976.2,5267,3573,30.88
2026-03-26,3,545101.76,1425806.46,370902.79,993847.01,-880704.7,5480,3717,32.06
2026-03-27,3,569276.25,1480645.17,387360.66,1039291.81,-911368.92,5711,3874,33.49
2026-03-28,3,585029.81,1535483.88,397949.34,1066414.45,-950454.07,5868,3979,34.41
2026-03-29,3,604440.52,1590322.59,410772.74,1094742.98,-985882.07,6042,4093,35.56
2026-03-30,3,622015.01,1645161.3,422455.39,1125189.44,-1023146.29,6227,4215,36.59
2026-03-31,3,649717.18,1700000.01,440951.96,1171804.99,-1050282.83,6516,4407,38.22
